30/08/2014 20:27:44 (0) >       IronDome D201 created
30/08/2014 20:27:46 (2) >       IronDome D201 >> Trying to intercept Missile M4
30/08/2014 20:27:46 (2) >       IronDome D201 >> Missile M4 interception failed, Missile may not be On-Air
30/08/2014 20:27:48 (4) >       IronDome D201 >> Trying to intercept Missile M1
30/08/2014 20:27:48 (4) >       IronDome D201 >> Missile M1 was intercepted successfully
30/08/2014 20:27:51 (7) >       IronDome D201 >> Trying to intercept Missile M3
30/08/2014 20:27:51 (7) >       IronDome D201 >> Missile M3 interception failed, Missile may not be On-Air
30/08/2014 20:31:25 (221) >     IronDome D201 >> Trying to intercept Missile M657
                                >> Interception duration time: (8) time units
30/08/2014 20:31:33 (229) >     IronDome D201 >> Missile M657 was intercepted successfully
